phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
8773222,https://allegrolokalnie.pl-id534455.shop/oferta/0660d49a-befe-472d-b55f-6a67cc3d1edd,http://www.phishtank.com/phish_detail.php?phish_id=8773222,2024-09-22T15:09:00+00:00,yes,2024-09-22T15:13:16+00:00,yes,Allegro
8773214,https://www.m-ingproteccion.com/es,http://www.phishtank.com/phish_detail.php?phish_id=8773214,2024-09-22T14:32:35+00:00,yes,2024-09-22T14:53:03+00:00,yes,"ING Direct"
8773207,https://aktivierung-one-ch.codeanyapp.com/one.viseca.ch/login.php,http://www.phishtank.com/phish_detail.php?phish_id=8773207,2024-09-22T13:58:01+00:00,yes,2024-09-22T14:03:39+00:00,yes,Other
8773204,https://allegrolokalnie.091214.cfd/?id=KdAOe9JcOn4IOg08ENa0ddaIn4gedC,http://www.phishtank.com/phish_detail.php?phish_id=8773204,2024-09-22T13:35:26+00:00,yes,2024-09-22T13:53:07+00:00,yes,Allegro
8773200,https://azfazq-aq.blogspot.de/,http://www.phishtank.com/phish_detail.php?phish_id=8773200,2024-09-22T13:20:17+00:00,yes,2024-09-22T13:23:05+00:00,yes,Other
8773201,https://azfazq-aq.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=8773201,2024-09-22T13:20:17+00:00,yes,2024-09-22T13:23:05+00:00,yes,Other
8773198,https://xzaaqc-aeqc.blogspot.fr/,http://www.phishtank.com/phish_detail.php?phish_id=8773198,2024-09-22T13:20:14+00:00,yes,2024-09-22T13:23:05+00:00,yes,Other
8773199,https://xzaaqc-aeqc.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=8773199,2024-09-22T13:20:14+00:00,yes,2024-09-22T13:23:05+00:00,yes,Other
8773194,https://docs.google.com/presentation/d/1gljaNCJADeJ_bZLWTwN1FVGoKPGAiu7igoHm7wON8fM/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8773194,2024-09-22T12:51:35+00:00,yes,2024-09-22T12:53:01+00:00,yes,Other
8773191,http://allegrollokalnie.0723624.xyz/captcha,http://www.phishtank.com/phish_detail.php?phish_id=8773191,2024-09-22T12:40:10+00:00,yes,2024-09-22T12:53:01+00:00,yes,Other
8773150,https://olx-pl.kayforgifts.shop/login/106CI217FQ270U0579880/,http://www.phishtank.com/phish_detail.php?phish_id=8773150,2024-09-22T11:54:15+00:00,yes,2024-09-22T12:23:16+00:00,yes,Other
8773132,https://www.pay.yandex.allegrolokalnie.pl-oferta-id2387942371.top,http://www.phishtank.com/phish_detail.php?phish_id=8773132,2024-09-22T11:41:52+00:00,yes,2024-09-22T12:23:16+00:00,yes,Allegro
8773125,https://djefnejfje.wixsite.com/home1,http://www.phishtank.com/phish_detail.php?phish_id=8773125,2024-09-22T11:40:56+00:00,yes,2024-09-22T12:23:16+00:00,yes,Other
8773119,http://klapaucios-noply-recmobil.pagina-oficial.ws/receber.php,http://www.phishtank.com/phish_detail.php?phish_id=8773119,2024-09-22T11:38:59+00:00,yes,2024-09-22T12:23:16+00:00,yes,"ABSA Bank"
8773113,https://www.pochta.youla.allegrolokalnie.pl-oferta-id2387942371.top,http://www.phishtank.com/phish_detail.php?phish_id=8773113,2024-09-22T11:37:22+00:00,yes,2024-09-22T12:23:16+00:00,yes,Allegro
8773103,http://klapaucios-noply-recmobil.pagina-oficial.ws/,http://www.phishtank.com/phish_detail.php?phish_id=8773103,2024-09-22T11:35:01+00:00,yes,2024-09-22T12:23:16+00:00,yes,"ABSA Bank"
8773104,http://klapaucios-noply-recmobil.pagina-oficial.ws/index.php?id=c748abcb-e78e-42cc-8112-aa61e9c432f8,http://www.phishtank.com/phish_detail.php?phish_id=8773104,2024-09-22T11:35:01+00:00,yes,2024-09-22T12:23:16+00:00,yes,"ABSA Bank"
8773090,https://www.confeitariadama.com.br/wp-admin/js/widgets/kha/swisssa20244/swisscom/index2.php,http://www.phishtank.com/phish_detail.php?phish_id=8773090,2024-09-22T11:31:14+00:00,yes,2024-09-22T12:23:16+00:00,yes,Other
8773086,https://trutrtl.com/vi,http://www.phishtank.com/phish_detail.php?phish_id=8773086,2024-09-22T11:30:58+00:00,yes,2024-09-22T12:23:16+00:00,yes,Other
8773082,https://www.diepost.online/ch/,http://www.phishtank.com/phish_detail.php?phish_id=8773082,2024-09-22T11:30:46+00:00,yes,2024-09-22T12:23:16+00:00,yes,Other
8773084,http://klapaucios-noply-recmobil.pagina-oficial.ws/index.php?id=49a2ea5e-d134-4bca-87d8-ad2a458581bf,http://www.phishtank.com/phish_detail.php?phish_id=8773084,2024-09-22T11:30:46+00:00,yes,2024-09-22T12:23:16+00:00,yes,"ABSA Bank"
8773079,http://themustangcanberra.com.au/bat01.html,http://www.phishtank.com/phish_detail.php?phish_id=8773079,2024-09-22T11:30:38+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773078,https://riprogramma.spedizione.20-218-140-126.cprapid.com/brt/update.php?2zb69q4pdqeu7r12nt4v,http://www.phishtank.com/phish_detail.php?phish_id=8773078,2024-09-22T11:30:35+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773076,https://zea-azaz.blogspot.de/,http://www.phishtank.com/phish_detail.php?phish_id=8773076,2024-09-22T11:30:33+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773077,https://zea-azaz.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=8773077,2024-09-22T11:30:33+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773073,https://aevqaqe.blogspot.nl/,http://www.phishtank.com/phish_detail.php?phish_id=8773073,2024-09-22T11:30:25+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773074,https://aevqaqe.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=8773074,2024-09-22T11:30:25+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773070,https://zacaqcaq-aq.blogspot.ch/,http://www.phishtank.com/phish_detail.php?phish_id=8773070,2024-09-22T11:30:18+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773071,https://zacaqcaq-aq.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=8773071,2024-09-22T11:30:18+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773069,https://swisspass-ch.info/validate-nohuman.php,http://www.phishtank.com/phish_detail.php?phish_id=8773069,2024-09-22T11:30:15+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773068,https://swisspass-ch.info/fss/signin.php,http://www.phishtank.com/phish_detail.php?phish_id=8773068,2024-09-22T11:30:14+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773067,https://swisspassch.info/validate-nohuman.php,http://www.phishtank.com/phish_detail.php?phish_id=8773067,2024-09-22T11:30:11+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773066,https://swisspassch.info/,http://www.phishtank.com/phish_detail.php?phish_id=8773066,2024-09-22T11:30:10+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773065,https://post.pstl-ments.com/cPersonal/228083085?lk=twintde,http://www.phishtank.com/phish_detail.php?phish_id=8773065,2024-09-22T11:30:03+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773064,https://ups-services-ch.com/,http://www.phishtank.com/phish_detail.php?phish_id=8773064,2024-09-22T11:29:48+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773063,https://lnq.gin.mybluehost.me/DHLM/,http://www.phishtank.com/phish_detail.php?phish_id=8773063,2024-09-22T11:29:43+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773062,https://tig.gin.mybluehost.me/marijua/,http://www.phishtank.com/phish_detail.php?phish_id=8773062,2024-09-22T11:29:39+00:00,yes,2024-09-22T12:13:00+00:00,yes,Other
8773058,https://allegrolokalnie.pl32184053.shop,http://www.phishtank.com/phish_detail.php?phish_id=8773058,2024-09-22T11:28:25+00:00,yes,2024-09-22T12:13:00+00:00,yes,Allegro
8773056,https://allegrolokalnie.chronionyzakup.com.pl,http://www.phishtank.com/phish_detail.php?phish_id=8773056,2024-09-22T11:28:19+00:00,yes,2024-09-22T12:13:00+00:00,yes,Allegro
8773055,https://allegrolokalnie.id-7826190851.pl,http://www.phishtank.com/phish_detail.php?phish_id=8773055,2024-09-22T11:28:16+00:00,yes,2024-09-22T12:04:04+00:00,yes,Allegro
